,Ticker,Year,Highest,Lowest,Open,Close,Yearly Return (%),Yearly Moving (%),Name,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency
0,AAPL,2013,20.540714263916016,13.753570556640623,19.779285430908203,20.03642845153809,1.300062236970707,49.348230550926736,Apple Inc.,3783310,2046251,7.110275,Information Technology,163874670.0,USD
1,AAPL,2014,29.9375,17.626785278320312,19.8457145690918,27.59499931335449,39.047647880271406,69.84095243289194,Apple Inc.,3783310,2046251,7.110275,Information Technology,163874670.0,USD
2,AAPL,2015,33.6349983215332,23.0,27.84749984741211,26.315000534057617,-5.503184565047797,46.23912313710088,Apple Inc.,3783310,2046251,7.110275,Information Technology,163874670.0,USD
3,AAPL,2016,29.67250061035156,22.36750030517578,25.65250015258789,28.95499992370605,12.873987921153937,32.65899275962196,Apple Inc.,3783310,2046251,7.110275,Information Technology,163874670.0,USD
4,AAPL,2017,44.29999923706055,28.690000534057617,28.950000762939453,42.307498931884766,46.139888832213806,54.40919627893507,Apple Inc.,3783310,2046251,7.110275,Information Technology,163874670.0,USD
5,AAPL,2018,58.36750030517578,36.647499084472656,42.540000915527344,39.435001373291016,-7.299011460770763,59.267349105155645,Apple Inc.,3783310,2046251,7.110275,Information Technology,163874670.0,USD
6,AAPL,2019,73.49250030517578,35.5,38.72249984741211,73.4124984741211,89.58615472504773,107.02112762021348,Apple Inc.,3783310,2046251,7.110275,Information Technology,163874670.0,USD
7,AAPL,2020,138.7899932861328,53.15250015258789,74.05999755859375,132.69000244140625,79.16555065563759,161.11658508574484,Apple Inc.,3783310,2046251,7.110275,Information Technology,163874670.0,USD
8,AAPL,2021,182.1300048828125,116.20999908447266,133.52000427246094,177.57000732421875,32.991313392912545,56.724900023811905,Apple Inc.,3783310,2046251,7.110275,Information Technology,163874670.0,USD
9,AAPL,2022,182.94000244140625,125.87000274658205,177.8300018310547,129.92999267578125,-26.935842468685507,45.34042937118624,Apple Inc.,3783310,2046251,7.110275,Information Technology,163874670.0,USD
10,MSFT,2013,38.97999954223633,26.280000686645508,27.25,37.40999984741211,37.28440310976921,48.32571736592258,Microsoft Corporation,59491810,2588173,6.065087,Information Technology,82019920.0,USD
11,MSFT,2014,50.04999923706055,34.630001068115234,37.34999847412109,46.45000076293945,24.36413028269208,44.52785935124592,Microsoft Corporation,59491810,2588173,6.065087,Information Technology,82019920.0,USD
12,MSFT,2015,56.84999847412109,39.720001220703125,46.65999984741211,55.47999954223633,18.90269979354361,43.12687997725778,Microsoft Corporation,59491810,2588173,6.065087,Information Technology,82019920.0,USD
13,MSFT,2016,64.0999984741211,48.040000915527344,54.31999969482422,62.13999938964844,14.396170358538004,33.43046888536358,Microsoft Corporation,59491810,2588173,6.065087,Information Technology,82019920.0,USD
14,MSFT,2017,87.5,61.95000076293945,62.790000915527344,85.54000091552734,36.231883529681795,41.242936113643125,Microsoft Corporation,59491810,2588173,6.065087,Information Technology,82019920.0,USD
15,MSFT,2018,116.18000030517578,83.83000183105469,86.12999725341797,101.56999969482422,17.92639374639424,38.59000091556373,Microsoft Corporation,59491810,2588173,6.065087,Information Technology,82019920.0,USD
16,MSFT,2019,159.5500030517578,97.1999969482422,99.5500030517578,157.6999969482422,58.41284993858934,64.14609882829134,Microsoft Corporation,59491810,2588173,6.065087,Information Technology,82019920.0,USD
17,MSFT,2020,232.8600006103516,132.52000427246094,158.77999877929688,222.4199981689453,40.08061461072789,75.71686772028151,Microsoft Corporation,59491810,2588173,6.065087,Information Technology,82019920.0,USD
18,MSFT,2021,349.6700134277344,211.94000244140625,222.52999877929688,336.32000732421875,51.134682590717894,64.98537765394501,Microsoft Corporation,59491810,2588173,6.065087,Information Technology,82019920.0,USD
19,MSFT,2022,338.0,213.42999267578125,335.3500061035156,239.82000732421875,-28.48665485033829,58.36574595841899,Microsoft Corporation,59491810,2588173,6.065087,Information Technology,82019920.0,USD
20,AMZN,2013,20.2814998626709,12.287500381469728,12.803999900817873,19.93950080871582,55.72868606037835,65.05797951596884,Amazon.com Inc.,2313510,2000019,2.73804,Consumer Discretionary,98231640.0,USD
21,AMZN,2014,20.402999877929688,14.199999809265137,19.940000534057617,15.517499923706056,-22.179039578248297,43.68309966185529,Amazon.com Inc.,2313510,2000019,2.73804,Consumer Discretionary,98231640.0,USD
22,AMZN,2015,34.821998596191406,14.262499809265137,15.628999710083008,33.79449844360352,116.22943931466767,144.15073838297621,Amazon.com Inc.,2313510,2000019,2.73804,Consumer Discretionary,98231640.0,USD
23,AMZN,2016,42.36050033569336,23.700000762939453,32.81449890136719,37.493499755859375,14.258943488840664,78.73628258246305,Amazon.com Inc.,2313510,2000019,2.73804,Consumer Discretionary,98231640.0,USD
24,AMZN,2017,60.670501708984375,37.3849983215332,37.89599990844727,58.4734992980957,54.299924634160575,62.28568793070954,Amazon.com Inc.,2313510,2000019,2.73804,Consumer Discretionary,98231640.0,USD
25,AMZN,2018,102.5250015258789,58.5255012512207,58.59999847412109,75.09850311279297,28.154445509001075,75.18004858393329,Amazon.com Inc.,2313510,2000019,2.73804,Consumer Discretionary,98231640.0,USD
26,AMZN,2019,101.79000091552734,73.04650115966797,73.26000213623047,92.39199829101562,26.115200104974466,39.34959142400357,Amazon.com Inc.,2313510,2000019,2.73804,Consumer Discretionary,98231640.0,USD
27,AMZN,2020,177.6125030517578,81.30149841308594,93.75,162.84649658203125,73.7029296875,118.46153701783444,Amazon.com Inc.,2313510,2000019,2.73804,Consumer Discretionary,98231640.0,USD
28,AMZN,2021,188.6540069580078,144.0500030517578,163.5,166.7169952392578,1.967581186090405,30.964250580559572,Amazon.com Inc.,2313510,2000019,2.73804,Consumer Discretionary,98231640.0,USD
29,AMZN,2022,171.39999389648438,81.69000244140625,167.5500030517578,84.0,-49.86571264098898,109.8175893915836,Amazon.com Inc.,2313510,2000019,2.73804,Consumer Discretionary,98231640.0,USD
30,NVDA,2013,4.079999923706055,2.977499961853028,3.140000104904175,4.005000114440918,27.547770084012175,37.027707001779206,NVIDIA Corporation,67066G10,2379504,1.923625,Information Technology,27105582.0,USD
31,NVDA,2014,5.3125,3.829999923706055,3.9800000190734863,5.012499809265137,25.942205659386115,38.70757456463396,NVIDIA Corporation,67066G10,2379504,1.923625,Information Technology,27105582.0,USD
32,NVDA,2015,8.484999656677246,4.735000133514404,5.03249979019165,8.239999771118164,63.735720112257845,79.19745337746217,NVIDIA Corporation,67066G10,2379504,1.923625,Information Technology,27105582.0,USD
33,NVDA,2016,29.982500076293945,6.1875,8.072500228881836,26.684999465942383,230.56672294004582,384.56565779869,NVIDIA Corporation,67066G10,2379504,1.923625,Information Technology,27105582.0,USD
34,NVDA,2017,54.66749954223633,23.792499542236328,26.100000381469727,48.375,85.34482487726285,129.7677864622456,NVIDIA Corporation,67066G10,2379504,1.923625,Information Technology,27105582.0,USD
